productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extCounterplus,extAttribute
600705,Emperors in the New World - 2nd Anniversary Tournament Pack,Emperors in the New World 2nd Anniversary Tournament Pack,https://tcgplayer-cdn.tcgplayer.com/product/600705_200w.jpg,68,23590,https://cpt.tcgcsv.com/7jQ6,2024-12-06T14:09:39.72,1,4.0,7.38,24.99,8.5,,Normal,,,,,,,,,,
600713,Shachi & Penguin,Shachi and Penguin,https://tcgplayer-cdn.tcgplayer.com/product/600713_200w.jpg,68,23590,https://cpt.tcgcsv.com/hjQ6,2024-12-06T14:09:35.117,0,0.9,1.5,5.0,1.69,,Normal,C,OP09-003,[When Attacking] Give up to 1 of your opponent's Characters 2000 power during this turn.,Red,Character,4,5000,Heart Pirates,1000,Ranged
600715,Howling Gab,Howling Gab,https://tcgplayer-cdn.tcgplayer.com/product/600715_200w.jpg,68,23590,https://cpt.tcgcsv.com/kjQ6,2024-12-06T14:09:30.053,0,0.71,0.9,3.0,,,Normal,C,OP09-006,,Red,Character,5,7000,Red-Haired Pirates,1000,Special
600716,Heat,Heat,https://tcgplayer-cdn.tcgplayer.com/product/600716_200w.jpg,68,23590,https://cpt.tcgcsv.com/ljQ6,2024-12-06T14:09:25.44,0,3.99,9.22,19.99,,,Normal,C,OP09-007,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br>
[On Play] Up to 1 of your Leader with 4000 power or less gains +1000 power during this turn.",Red,Character,3,4000,Kid Pirates,1000,Special
600717,Bonk Punch,Bonk Punch,https://tcgplayer-cdn.tcgplayer.com/product/600717_200w.jpg,68,23590,https://cpt.tcgcsv.com/mjQ6,2024-12-06T14:09:20.753,0,1.0,2.5,8.0,,,Normal,C,OP09-010,"[On Play] Play up to 1 [Monster] from your hand.<br>
[DON!! x1] [When Attacking] This Character gains +2000 power during this turn.",Red,Character,4,5000,Red-Haired Pirates,1000,Strike
600718,Monster,Monster,https://tcgplayer-cdn.tcgplayer.com/product/600718_200w.jpg,68,23590,https://cpt.tcgcsv.com/njQ6,2024-12-06T14:09:14.463,0,0.75,1.69,8.03,,,Normal,C,OP09-012,"If your Character [Bonk Punch] would be K.O.'d by an effect, you may trash this Character instead.",Red,Character,3,4000,Animal;Red-Haired Pirates,1000,Strike
600719,Rockstar,Rockstar,https://tcgplayer-cdn.tcgplayer.com/product/600719_200w.jpg,68,23590,https://cpt.tcgcsv.com/pjQ6,2024-12-06T14:09:10.293,0,1.97,7.64,10.0,,,Normal,C,OP09-016,,Red,Character,4,6000,Red-Haired Pirates,1000,Slash
600720,Nobody Hurts a Friend of Mine!!!!,Nobody Hurts a Friend of Mine,https://tcgplayer-cdn.tcgplayer.com/product/600720_200w.jpg,68,23590,https://cpt.tcgcsv.com/qjQ6,2024-12-06T14:09:05.673,0,0.76,1.58,3.0,1.98,,Normal,C,OP09-019,"[Main] If your Leader has the ""Red-Haired Pirates"" type, give up to 1 of your opponent's Characters 3000 power during this turn. Then, if your opponent has a Character with 5000 or more power, draw 1 card.<br>
[Trigger] Draw 1 card.",Red,Event,2,,Red-Haired Pirates,,
600721,Red Force,Red Force,https://tcgplayer-cdn.tcgplayer.com/product/600721_200w.jpg,68,23590,https://cpt.tcgcsv.com/rjQ6,2024-12-06T14:09:00.99,0,1.6,2.0,7.99,2.0,,Normal,C,OP09-021,"[Activate: Main] <strong>You may rest this Stage</strong>: If your Leader has the ""Red-Haired Pirates"" type, give up to 1 of your opponent's Characters 1000 power during this turn.",Red,Stage,2,,Red-Haired Pirates,,
600722,Usopp (024),Usopp 024,https://tcgplayer-cdn.tcgplayer.com/product/600722_200w.jpg,68,23590,https://cpt.tcgcsv.com/sjQ6,2024-12-06T14:08:56.057,0,7.74,8.99,18.0,9.89,,Normal,C,OP09-024,"[On Play] If you have 2 or more rested Characters, draw 2 cards and trash 2 cards from your hand.",Green,Character,4,5000,Straw Hat Crew;ODYSSEY,1000,Ranged
600723,Sanji (028),Sanji 028,https://tcgplayer-cdn.tcgplayer.com/product/600723_200w.jpg,68,23590,https://cpt.tcgcsv.com/tjQ6,2024-12-06T14:08:50.553,0,3.2,4.0,8.0,3.73,,Normal,C,OP09-028,"[On K.O.] <strong>You may add 1 card from the top or bottom of your Life cards to your hand</strong>: Play up to 1 ""ODYSSEY"" or ""Straw Hat Crew"" type Character card with a cost of 4 or less from your trash rested.",Green,Character,5,6000,Straw Hat Crew;ODYSSEY,1000,Strike
600724,Tony Tony.Chopper,Tony TonyChopper,https://tcgplayer-cdn.tcgplayer.com/product/600724_200w.jpg,68,23590,https://cpt.tcgcsv.com/vjQ6,2024-12-06T14:08:45.753,0,9.92,13.69,20.6,20.0,,Normal,C,OP09-029,"[End of Your Turn] Set up to 1 of your ""ODYSSEY"" type Characters with a cost of 4 or less as active.",Green,Character,3,4000,Animal;Straw Hat Crew;ODYSSEY,1000,Strike
600725,Nico Robin (033),Nico Robin 033,https://tcgplayer-cdn.tcgplayer.com/product/600725_200w.jpg,68,23590,https://cpt.tcgcsv.com/wjQ6,2024-12-06T14:08:41.357,0,11.2,13.77,19.0,13.91,,Normal,C,OP09-033,"[On Play] If you have 2 or more rested Characters, none of your ""ODYSSEY"" or ""Straw Hat Crew"" type Characters can be K.O.'d by effects until the end of your opponent's next turn.",Green,Character,4,5000,Straw Hat Crew;ODYSSEY,1000,Strike
600726,Monkey.D.Luffy (036),MonkeyDLuffy 036,https://tcgplayer-cdn.tcgplayer.com/product/600726_200w.jpg,68,23590,https://cpt.tcgcsv.com/xjQ6,2024-12-06T14:08:35.92,0,6.86,8.57,15.7,8.58,,Normal,C,OP09-036,"[On Play] If you have 2 or more rested Characters, rest up to 1 of your opponent's DON!! cards or Characters with a cost of 6 or less.",Green,Character,5,6000,Straw Hat Crew;Supernovas;ODYSSEY,1000,Strike
