productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extCounterplus,extAttribute,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
516834,Usopp,Usopp,https://tcgplayer-cdn.tcgplayer.com/product/516834_200w.jpg,68,23297,https://cpt.tcgcsv.com/JL86,2023-09-15T16:41:28.783,1,UC,OP04-003,[On K.O.] K.O. up to 1 of your opponent's Characters with 5000 base power or less.,Red,Character,4,5000,Alabasta;Straw Hat Crew,1000,Wisdom,2.0,3.25,12.99,3.15,,Normal
516835,Karoo,Karoo,https://tcgplayer-cdn.tcgplayer.com/product/516835_200w.jpg,68,23297,https://cpt.tcgcsv.com/KL86,2023-09-15T16:42:04.087,1,C,OP04-004,[Activate:Main] <strong>You may rest this Character</strong>: Give up to 1 rested DON!! card to each of your [Alabasta] type Characters.,Red,Character,1,2000,Animal;Alabasta,1000,Strike,0.85,1.91,100.0,2.44,,Normal
516836,Kung Fu Jugon,Kung Fu Jugon,https://tcgplayer-cdn.tcgplayer.com/product/516836_200w.jpg,68,23297,https://cpt.tcgcsv.com/LL86,2023-09-15T16:42:36.707,1,C,OP04-005,"If you have a [Kung Fu Jugon] other than this Character, this Character gains [Blocker]. <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Red,Character,1,1000,Animal;Alabasta,1000,Strike,0.6,0.72,52.35,0.7,,Normal
516837,Koza,Koza,https://tcgplayer-cdn.tcgplayer.com/product/516837_200w.jpg,68,23297,https://cpt.tcgcsv.com/ML86,2023-09-15T16:43:21.077,1,UC,OP04-006,[When Attacking] <strong>You may give your 1 active Leader -5000 power during this turn</strong>: This Character gains +2000 power until the start of your next turn.,Red,Character,3,3000,Alabasta,2000,Slash,0.45,0.62,5.34,0.53,,Normal
516838,Sanji (007),Sanji 007,https://tcgplayer-cdn.tcgplayer.com/product/516838_200w.jpg,68,23297,https://cpt.tcgcsv.com/NL86,2023-09-15T16:43:49.033,1,C,OP04-007,,Red,Character,1,3000,Alabasta;Straw Hat Crew,1000,Strike,1.95,2.83,19.95,3.0,,Normal
516839,Super Spot-Billed Duck Troops,Super Spot Billed Duck Troops,https://tcgplayer-cdn.tcgplayer.com/product/516839_200w.jpg,68,23297,https://cpt.tcgcsv.com/PL86,2023-09-15T16:44:15.48,1,UC,OP04-009,[When Attacking] <strong>You may give your 1 active Leader -5000 power during this turn</strong>: Return this Character to the owner's hand at the end of this turn.,Red,Character,2,3000,Animal;Alabasta,2000,Strike,15.0,15.0,35.0,6.66,,Normal
516840,Tony Tony.Chopper,Tony TonyChopper,https://tcgplayer-cdn.tcgplayer.com/product/516840_200w.jpg,68,23297,https://cpt.tcgcsv.com/QL86,2023-09-15T16:44:40.103,1,C,OP04-010,[On Play] Play up to 1 [Animal] type Character card with 3000 power or less from your hand.,Red,Character,3,4000,Animal;Alabasta;Straw Hat Crew,1000,Strike,3.84,6.84,222.22,6.48,,Normal
516841,Nami,Nami,https://tcgplayer-cdn.tcgplayer.com/product/516841_200w.jpg,68,23297,https://cpt.tcgcsv.com/RL86,2023-09-15T16:45:43.673,1,C,OP04-011,"[When Attacking] Reveal 1 card from the top of your deck. If the revealed card is a Character card with 6000 power or more, this Character gains +3000 power during this turn. Then, place the revealed card at the bottom of your deck.",Red,Character,2,3000,Alabasta;Straw Hat Crew,1000,Wisdom,4.23,5.0,20.0,3.35,,Normal
516842,Nefeltari Cobra,Nefeltari Cobra,https://tcgplayer-cdn.tcgplayer.com/product/516842_200w.jpg,68,23297,https://cpt.tcgcsv.com/SL86,2023-09-15T16:46:10.62,1,C,OP04-012,[Your Turn] All of your [Alabasta] type Characters other than this Character gain +1000 power.,Red,Character,2,0,Alabasta,1000,Wisdom,0.31,0.5,3.2,0.45,,Normal
516843,Monkey.D.Luffy,MonkeyDLuffy,https://tcgplayer-cdn.tcgplayer.com/product/516843_200w.jpg,68,23297,https://cpt.tcgcsv.com/TL86,2023-09-15T16:46:45.1,1,UC,OP04-014,"[Banish] <em>(When this card deals damage, the target card is trashed without activating its Trigger.)</em>",Red,Character,8,9000,Alabasta;Straw Hat Crew,,Strike,18.0,20.0,21.99,8.99,,Normal
