productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extCounterplus,extAttribute,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
501643,Curiel,Curiel,https://tcgplayer-cdn.tcgplayer.com/product/501643_200w.jpg,68,23232,https://cpt.tcgcsv.com/TG06,2023-06-23T20:32:31.37,1,C,OP03-004,"This Character cannot attack a Leader on the turn in which it is played.
<br>
[DON!! x1] This Character gains [Rush]. <em>(This card can attack on the turn in which it is played.)</em>",Red,Character,3,4000,Whitebeard Pirates,1000,Ranged,0.2,0.5,29.99,0.29,,Normal
501644,Speed Jil,Speed Jil,https://tcgplayer-cdn.tcgplayer.com/product/501644_200w.jpg,68,23232,https://cpt.tcgcsv.com/VG06,2023-06-23T20:33:14.35,1,C,OP03-006,,Red,Character,4,6000,Whitebeard Pirates,1000,Slash,0.22,0.47,29.99,0.47,,Normal
501645,Namule,Namule,https://tcgplayer-cdn.tcgplayer.com/product/501645_200w.jpg,68,23232,https://cpt.tcgcsv.com/WG06,2023-06-23T20:33:26.5,1,C,OP03-007,,Red,Character,3,5000,Fish-Man;Whitebeard Pirates,1000,Strike,0.15,0.5,34.99,0.26,,Normal
501646,Haruta,Haruta,https://tcgplayer-cdn.tcgplayer.com/product/501646_200w.jpg,68,23232,https://cpt.tcgcsv.com/XG06,2023-06-23T20:36:42.34,1,C,OP03-009,[Activate:Main] [Once Per Turn] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.,Red,Character,2,3000,Whitebeard Pirates,1000,Slash,1.37,2.0,29.99,1.37,,Normal
501647,Fossa,Fossa,https://tcgplayer-cdn.tcgplayer.com/product/501647_200w.jpg,68,23232,https://cpt.tcgcsv.com/ZG06,2023-06-23T20:37:41.113,1,C,OP03-010,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Red,Character,2,2000,Whitebeard Pirates,1000,Slash,0.9,1.05,29.99,1.01,,Normal
501649,Fiery Doll,Fiery Doll,https://tcgplayer-cdn.tcgplayer.com/product/501649_200w.jpg,68,23232,https://cpt.tcgcsv.com/_G06,2023-06-23T20:40:15.46,1,C,OP03-019,"[Main] Your Leader gains +4000 power during this turn.
<br>
[Trigger] Give up to 1 of your opponent's Leader or Character cards -10000 power during this turn.",Red,Event,2,,Whitebeard Pirates,,,0.86,1.69,29.99,1.22,,Normal
501650,Striker,Striker,https://tcgplayer-cdn.tcgplayer.com/product/501650_200w.jpg,68,23232,https://cpt.tcgcsv.com/0H06,2023-06-23T20:40:42.373,1,C,OP03-020,"[Activate:Main] (2) <em>(You may rest the specified number of DON!! cards in your cost area.)</em> <strong>You may rest this Stage</strong>: If your Leader is [Portgas.D.Ace], look at 5 cards from the top of your deck; reveal up to 1 Event and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Red,Stage,1,,Whitebeard Pirates,,,1.37,2.05,45.0,1.47,,Normal
501652,Alvida,Alvida,https://tcgplayer-cdn.tcgplayer.com/product/501652_200w.jpg,68,23232,https://cpt.tcgcsv.com/3H06,2023-06-23T20:40:55.35,1,C,OP03-023,,Green,Character,1,3000,East Blue;Alvida Pirates,1000,Strike,0.25,0.5,49.99,0.46,,Normal
501654,Sham,Sham,https://tcgplayer-cdn.tcgplayer.com/product/501654_200w.jpg,68,23232,https://cpt.tcgcsv.com/6H06,2023-06-23T20:41:21.767,1,C,OP03-027,"[On Play] If your Leader has the [East Blue] type, rest up to 1 of your opponent's Characters with a cost of 2 or less and, if you don't have [Buchi], play up to 1 [Buchi] from your hand.",Green,Character,3,4000,East Blue;Black Cat Pirates,1000,Slash,0.46,0.77,29.99,0.71,,Normal
501655,Pearl,Pearl,https://tcgplayer-cdn.tcgplayer.com/product/501655_200w.jpg,68,23232,https://cpt.tcgcsv.com/7H06,2023-06-23T20:41:51.433,1,C,OP03-031,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Green,Character,2,2000,Krieg Pirates;East Blue,1000,Strike,0.24,0.78,29.99,0.53,,Normal
