productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extCounterplus,extAttribute,extLife
545398,Premium Booster - Booster Pack,Premium Booster Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/545398_200w.jpg,68,23496,https://cpt.tcgcsv.com/-9n6,2024-11-08T05:08:15.623,1,5.09,6.75,10.99,6.15,,Normal,,,,,,,,,,,
545399,Premium Booster - Booster Box,Premium Booster Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/545399_200w.jpg,68,23496,https://cpt.tcgcsv.com/_9n6,2024-11-25T13:15:37.333,1,145.5,165.48,300.0,161.56,,Normal,,,,,,,,,,,
545400,Premium Booster - Booster Box Case,Premium Booster Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/545400_200w.jpg,68,23496,https://cpt.tcgcsv.com/0bn6,2024-11-25T13:15:50.813,1,1489.88,1619.98,2950.0,1450.59,,Normal,,,,,,,,,,,
586178,Monkey.D.Luffy (OP01-024) (Alternate Art),MonkeyDLuffy OP01 024 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/586178_200w.jpg,68,23496,https://cpt.tcgcsv.com/BtJ6,2024-11-17T15:23:21.553,1,4.88,6.84,39.89,6.21,,Foil,SR,OP01-024,"[DON!! x2] This Character cannot be K.O.'d in battle by ""Strike"" attribute Characters.
<br>
<br>
<br>
[Activate:Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.",Red,Character,2,3000,Straw Hat Crew;Supernovas,1000,Strike,
586180,Tony Tony.Chopper (ST01-006) (Jolly Roger Foil),Tony TonyChopper ST01 006 Jolly Roger Foil,https://tcgplayer-cdn.tcgplayer.com/product/586180_200w.jpg,68,23496,https://cpt.tcgcsv.com/DtJ6,2024-11-08T05:08:15.623,1,0.09,0.25,5.0,0.2,,Foil,C,ST01-006,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Red,Character,1,1000,Animal;Straw Hat Crew,,Strike,
586181,DON!! Card (Uta) (Gold),DON Card Uta Gold,https://tcgplayer-cdn.tcgplayer.com/product/586181_200w.jpg,68,23496,https://cpt.tcgcsv.com/FtJ6,2024-11-12T20:57:31.537,1,138.5,146.95,199.99,141.24,,Foil,DON!!,,Your Turn +1000,,DON!!,,,,,,
586182,Edward.Newgate (OP02-004) (Alternate Art),EdwardNewgate OP02 004 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/586182_200w.jpg,68,23496,https://cpt.tcgcsv.com/GtJ6,2024-11-08T18:15:54.543,1,11.0,13.29,40.0,13.14,,Foil,SR,OP02-004,"[On Play] Up to 1 of your Leader gains +2000 power until the start of your next turn. Then, you cannot add Life cards to your hand using your own effects during this turn.
<br>
<br>
<br>
[DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.",Red,Character,9,10000,The Four Emperors;Whitebeard Pirates,,Special,
586183,Marco (Jolly Roger Foil),Marco Jolly Roger Foil,https://tcgplayer-cdn.tcgplayer.com/product/586183_200w.jpg,68,23496,https://cpt.tcgcsv.com/HtJ6,2024-11-08T05:08:15.623,1,0.07,0.25,2.0,0.24,,Foil,R,OP02-018,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
<br>
<br>
[On K.O.] <strong>You may trash 1 card with a type including ""Whitebeard Pirates"" from your hand</strong>: If you have 2 or less Life cards, play this Character card from your trash rested.",Red,Character,4,5000,Whitebeard Pirates,1000,Special,
586184,Marco (Alternate Art),Marco Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/586184_200w.jpg,68,23496,https://cpt.tcgcsv.com/JtJ6,2024-11-08T05:08:15.623,1,7.39,12.17,30.0,9.99,,Foil,R,OP02-018,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
<br>
<br>
[On K.O.] <strong>You may trash 1 card with a type including ""Whitebeard Pirates"" from your hand</strong>: If you have 2 or less Life cards, play this Character card from your trash rested.",Red,Character,4,5000,Whitebeard Pirates,1000,Special,
586185,Izo (OP03-003) (Jolly Roger Foil),Izo OP03 003 Jolly Roger Foil,https://tcgplayer-cdn.tcgplayer.com/product/586185_200w.jpg,68,23496,https://cpt.tcgcsv.com/KtJ6,2024-11-08T05:08:15.623,1,0.1,0.25,30.0,0.2,,Foil,R,OP03-003,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 card with a type including ""Whitebeard Pirates"" other than [Izo] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Red,Character,1,2000,Land of Wano;Whitebeard Pirates,1000,Ranged,
586186,Izo (OP03-003) (Alternate Art),Izo OP03 003 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/586186_200w.jpg,68,23496,https://cpt.tcgcsv.com/LtJ6,2024-11-08T05:08:15.623,1,10.27,11.97,40.0,13.05,,Foil,R,OP03-003,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 card with a type including ""Whitebeard Pirates"" other than [Izo] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Red,Character,1,2000,Land of Wano;Whitebeard Pirates,1000,Ranged,
586187,Otama (Alternate Art),Otama Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/586187_200w.jpg,68,23496,https://cpt.tcgcsv.com/MtJ6,2024-11-08T05:08:15.623,1,39.43,40.47,49.99,40.9,,Foil,UC,OP01-006,[On Play] Give up to 1 of your opponent's Characters -2000 power during this turn.,Red,Character,1,0,Land of Wano,2000,Special,
586188,DON!! Card (Sakazuki) (Gold),DON Card Sakazuki Gold,https://tcgplayer-cdn.tcgplayer.com/product/586188_200w.jpg,68,23496,https://cpt.tcgcsv.com/NtJ6,2024-11-12T20:56:55.78,1,59.99,66.99,119.99,60.74,,Foil,DON!!,,Your Turn +1000,,DON!!,,,,,,
586189,Koala (Alternate Art),Koala Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/586189_200w.jpg,68,23496,https://cpt.tcgcsv.com/PtJ6,2024-11-08T18:52:17.11,1,15.0,18.99,34.98,19.08,,Foil,SR,OP05-006,"[On Play] If your Leader has the [Revolutionary Army] type, give up to 1 of your opponent's Characters -3000 power during this turn.",Red,Character,2,3000,Revolutionary Army,2000,Strike,
586190,Sabo (OP05-007) (Alternate Art),Sabo OP05 007 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/586190_200w.jpg,68,23496,https://cpt.tcgcsv.com/QtJ6,2024-11-08T18:53:06.737,1,4.9,6.0,14.0,5.97,,Foil,SR,OP05-007,[On Play] K.O. up to 2 of your opponent's Characters with a total power of 4000 or less.,Red,Character,6,7000,Revolutionary Army,,Special,
586191,DON!! Card (Ivankov) (Gold),DON Card Ivankov Gold,https://tcgplayer-cdn.tcgplayer.com/product/586191_200w.jpg,68,23496,https://cpt.tcgcsv.com/RtJ6,2024-11-12T20:54:20.267,1,40.0,42.08,55.0,41.67,,Foil,DON!!,,Your Turn +1000,,DON!!,,,,,,
586192,Belo Betty (Jolly Roger Foil),Belo Betty Jolly Roger Foil,https://tcgplayer-cdn.tcgplayer.com/product/586192_200w.jpg,68,23496,https://cpt.tcgcsv.com/StJ6,2024-11-08T05:08:15.623,1,0.09,0.25,12.0,0.27,,Foil,R,OP05-015,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 [Revolutionary Army] type card other than [Belo Betty] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Red,Character,1,2000,Revolutionary Army,1000,Special,
586193,Belo Betty (Alternate Art),Belo Betty Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/586193_200w.jpg,68,23496,https://cpt.tcgcsv.com/TtJ6,2024-11-08T05:08:15.623,1,19.0,25.0,30.99,19.83,,Foil,R,OP05-015,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 [Revolutionary Army] type card other than [Belo Betty] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Red,Character,1,2000,Revolutionary Army,1000,Special,
586194,Shanks (OP01-120) (Alternate Art),Shanks OP01 120 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/586194_200w.jpg,68,23496,https://cpt.tcgcsv.com/VtJ6,2024-11-08T18:15:24.823,1,4.99,8.0,40.0,7.06,,Foil,SEC,OP01-120,"[Rush] <em>(This card can attack on the turn in which it is played.)</em>
<br>
<br>
<br>
[When Attacking] Your opponent cannot activate a [Blocker] Character that has 2000 or less power during this battle.",Red,Character,9,10000,The Four Emperors;Red-Haired Pirates,,Slash,
586195,Koby (Jolly Roger Foil),Koby Jolly Roger Foil,https://tcgplayer-cdn.tcgplayer.com/product/586195_200w.jpg,68,23496,https://cpt.tcgcsv.com/WtJ6,2024-11-08T15:57:51.267,1,0.02,0.19,2.0,0.16,,Foil,PR,P-014,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
<br>
<br>
[Trigger] Play this card.",Red,Character,3,3000,Navy,,Strike,
586197,Gum-Gum Red Roc (Alternate Art),Gum Gum Red Roc Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/586197_200w.jpg,68,23496,https://cpt.tcgcsv.com/ZtJ6,2024-11-08T05:08:15.623,1,19.99,28.81,35.0,27.38,,Foil,R,OP04-056,"[Main] Place up to 1 Character at the bottom of the owner's deck.
<br>
<br>
<br>
[Trigger] Place up to 1 Character with a cost of 4 or less at the bottom of the owner's deck.",Blue,Event,6,,Straw Hat Crew,,,
586198,Gum-Gum Red Roc (Jolly Roger Foil),Gum Gum Red Roc Jolly Roger Foil,https://tcgplayer-cdn.tcgplayer.com/product/586198_200w.jpg,68,23496,https://cpt.tcgcsv.com/-tJ6,2024-11-08T05:08:15.623,1,0.1,0.29,2.99,0.28,,Foil,R,OP04-056,"[Main] Place up to 1 Character at the bottom of the owner's deck.
<br>
<br>
<br>
[Trigger] Place up to 1 Character with a cost of 4 or less at the bottom of the owner's deck.",Blue,Event,6,,Straw Hat Crew,,,
586201,Sanji's Pilaf (Jolly Roger Foil),Sanjis Pilaf Jolly Roger Foil,https://tcgplayer-cdn.tcgplayer.com/product/586201_200w.jpg,68,23496,https://cpt.tcgcsv.com/2vJ6,2024-11-08T05:08:15.623,1,0.08,0.49,4.99,0.35,,Foil,UC,OP03-056,"[Main] Draw 2 cards.
<br>
<br>
<br>
[Trigger] Activate this card's [Main] effect.",Blue,Event,3,,East Blue,,,
586202,DON!! Card (Oden) (Gold),DON Card Oden Gold,https://tcgplayer-cdn.tcgplayer.com/product/586202_200w.jpg,68,23496,https://cpt.tcgcsv.com/3vJ6,2024-11-12T20:55:39.81,1,53.01,69.4,119.95,45.45,,Foil,DON!!,,Your Turn +1000,,DON!!,,,,,,
