productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extCounterplus,extAttribute
586670,Royal Blood Booster Pack,Royal Blood Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/586670_200w.jpg,68,23766,https://cpt.tcgcsv.com/qHJ6,2025-03-21T04:10:14.857,1,3.49,4.63,10.0,3.61,,Normal,,,,,,,,,,
586671,Royal Blood Booster Box,Royal Blood Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/586671_200w.jpg,68,23766,https://cpt.tcgcsv.com/rHJ6,2025-03-24T16:17:48.367,1,118.0,129.99,200.0,120.96,,Normal,,,,,,,,,,
586673,Royal Blood Booster Box Case,Royal Blood Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/586673_200w.jpg,68,23766,https://cpt.tcgcsv.com/tHJ6,2025-03-21T04:10:14.857,1,1345.0,1369.89,1999.99,1380.46,,Normal,,,,,,,,,,
617028,Charlotte Flampe (SP),Charlotte Flampe SP,https://tcgplayer-cdn.tcgplayer.com/product/617028_200w.jpg,68,23766,https://cpt.tcgcsv.com/BQX6,2025-03-21T04:10:14.857,1,81.71,101.5,164.95,85.15,,Foil,R,EB01-056,[On Play] <strong>You may add 1 card from the top or bottom of your Life cards to your hand</strong>: Draw 1 card.,Yellow,Character,1,1000,Big Mom Pirates,2000,Special
617029,Urouge (SP),Urouge SP,https://tcgplayer-cdn.tcgplayer.com/product/617029_200w.jpg,68,23766,https://cpt.tcgcsv.com/CQX6,2025-03-21T04:10:14.857,1,45.0,50.24,120.0,45.85,,Foil,R,OP07-021,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br>
[End of Your Turn] Set up to 1 of your DON!! cards as active.",Green,Character,4,5000,Fallen Monk Pirates;Supernovas,1000,Strike
617030,Smoker (001),Smoker 001,https://tcgplayer-cdn.tcgplayer.com/product/617030_200w.jpg,68,23766,https://cpt.tcgcsv.com/DQX6,2025-03-21T04:10:14.857,1,0.04,0.2,1.8,0.14,,Normal,L,OP10-001,"[Opponent's Turn] All of your {Navy} or {Punk Hazard} type Characters gain +1000 power.<br>
[Activate: Main] [Once Per Turn] If you have a Character with 7000 power or more, set up to 2 of your DON!! cards as active.",Green;Red,Leader,,5000,Navy;Punk Hazard,,Slash
617031,Smoker (001) (Parallel),Smoker 001 Parallel,https://tcgplayer-cdn.tcgplayer.com/product/617031_200w.jpg,68,23766,https://cpt.tcgcsv.com/FQX6,2025-03-21T04:10:14.857,1,60.64,64.89,100.0,61.15,,Foil,L,OP10-001,"[Opponent's Turn] All of your {Navy} or {Punk Hazard} type Characters gain +1000 power.<br>
[Activate: Main] [Once Per Turn] If you have a Character with 7000 power or more, set up to 2 of your DON!! cards as active.",Green;Red,Leader,,5000,Navy;Punk Hazard,,Slash
617032,Caesar Clown (002),Caesar Clown 002,https://tcgplayer-cdn.tcgplayer.com/product/617032_200w.jpg,68,23766,https://cpt.tcgcsv.com/GQX6,2025-03-21T04:10:14.857,1,0.01,0.2,1.56,0.15,,Normal,L,OP10-002,[DON!! x2] [When Attacking] <strong>You may return 1 of your {Punk Hazard} type Characters with a cost of 2 or more to the owner's hand</strong>: K.O. up to 1 of your opponent's Characters with 4000 power or less.,Blue;Red,Leader,,5000,Punk Hazard;Scientist,,Special
617033,Caesar Clown (002) (Parallel),Caesar Clown 002 Parallel,https://tcgplayer-cdn.tcgplayer.com/product/617033_200w.jpg,68,23766,https://cpt.tcgcsv.com/HQX6,2025-03-21T04:10:14.857,1,18.5,23.13,64.99,19.95,,Foil,L,OP10-002,[DON!! x2] [When Attacking] <strong>You may return 1 of your {Punk Hazard} type Characters with a cost of 2 or more to the owner's hand</strong>: K.O. up to 1 of your opponent's Characters with 4000 power or less.,Blue;Red,Leader,,5000,Punk Hazard;Scientist,,Special
617034,Sugar (003),Sugar 003,https://tcgplayer-cdn.tcgplayer.com/product/617034_200w.jpg,68,23766,https://cpt.tcgcsv.com/JQX6,2025-03-21T04:10:14.857,1,0.02,0.19,1.56,0.12,,Normal,L,OP10-003,"[End of Your Turn] If you have a {Donquixote Pirates} type Character with 6000 power or more, set up to 1 of your DON!! cards as active.<br>
[Opponent's Turn] [Once Per Turn] When you activate an Event, add up to 1 DON!! card from your DON!! deck and set it as active.",Purple;Red,Leader,,5000,Donquixote Pirates,,Special
617035,Sugar (003) (Parallel),Sugar 003 Parallel,https://tcgplayer-cdn.tcgplayer.com/product/617035_200w.jpg,68,23766,https://cpt.tcgcsv.com/KQX6,2025-03-21T04:10:14.857,1,25.0,28.47,60.0,27.22,,Foil,L,OP10-003,"[End of Your Turn] If you have a {Donquixote Pirates} type Character with 6000 power or more, set up to 1 of your DON!! cards as active.<br>
[Opponent's Turn] [Once Per Turn] When you activate an Event, add up to 1 DON!! card from your DON!! deck and set it as active.",Purple;Red,Leader,,5000,Donquixote Pirates,,Special
617036,Vergo,Vergo,https://tcgplayer-cdn.tcgplayer.com/product/617036_200w.jpg,68,23766,https://cpt.tcgcsv.com/LQX6,2025-03-21T04:10:14.857,1,0.1,0.22,2.26,0.15,,Normal,R,OP10-004,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Punk Hazard} type card other than [Vergo] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Red,Character,1,2000,Donquixote Pirates;Navy;Punk Hazard,1000,Strike
617037,Sanji,Sanji,https://tcgplayer-cdn.tcgplayer.com/product/617037_200w.jpg,68,23766,https://cpt.tcgcsv.com/MQX6,2025-03-21T04:10:14.857,1,8.43,10.15,19.77,10.1,,Foil,SR,OP10-005,"[Your Turn] This Character gains +3000 power.<br>
[On K.O.] Draw 1 card.",Red,Character,3,3000,Straw Hat Crew;Punk Hazard,1000,Special
617038,Sanji (Parallel),Sanji Parallel,https://tcgplayer-cdn.tcgplayer.com/product/617038_200w.jpg,68,23766,https://cpt.tcgcsv.com/NQX6,2025-03-21T04:10:14.857,1,42.99,52.94,79.99,48.56,,Foil,SR,OP10-005,"[Your Turn] This Character gains +3000 power.<br>
[On K.O.] Draw 1 card.",Red,Character,3,3000,Straw Hat Crew;Punk Hazard,1000,Special
617039,Caesar Clown (006),Caesar Clown 006,https://tcgplayer-cdn.tcgplayer.com/product/617039_200w.jpg,68,23766,https://cpt.tcgcsv.com/PQX6,2025-03-21T04:10:14.857,1,0.01,0.16,1.56,0.09,,Normal,UC,OP10-006,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 [Smiley] and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 [Smiley] from your hand.",Red,Character,7,7000,Punk Hazard;Scientist,,Special
617040,Ceaser Soldier,Ceaser Soldier,https://tcgplayer-cdn.tcgplayer.com/product/617040_200w.jpg,68,23766,https://cpt.tcgcsv.com/QQX6,2025-03-21T04:10:14.857,1,0.01,0.15,1.56,0.06,,Normal,UC,OP10-007,"[On Play] Play up to 1 ""Punk Hazard"" type Character card with a cost of 2 or less from your hand.",Red,Character,3,4000,Punk Hazard,1000,Wisdom
617041,Scotch,Scotch,https://tcgplayer-cdn.tcgplayer.com/product/617041_200w.jpg,68,23766,https://cpt.tcgcsv.com/RQX6,2025-03-21T04:10:14.857,1,0.02,0.15,1.55,0.06,,Normal,C,OP10-008,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br>
[On Play] If you don't have [Rock], play up to 1 [Rock] from your hand.",Red,Character,2,1000,Punk Hazard,1000,Ranged
617042,Smiley,Smiley,https://tcgplayer-cdn.tcgplayer.com/product/617042_200w.jpg,68,23766,https://cpt.tcgcsv.com/SQX6,2025-03-21T04:10:14.857,1,0.01,0.18,2.25,0.07,,Foil,R,OP10-009,"[On Play] If your Leader has the ""Punk Hazard"" type, give up to 1 of your opponent's Characters 3000 power during this turn.",Red,Character,5,6000,Biological Weapon;Punk Hazard,1000,Special
617043,Chadros.Higelyges (Brownbeard),ChadrosHigelyges Brownbeard,https://tcgplayer-cdn.tcgplayer.com/product/617043_200w.jpg,68,23766,https://cpt.tcgcsv.com/TQX6,2025-03-21T04:10:14.857,1,0.02,0.14,1.56,0.07,,Normal,C,OP10-010,"[When Attacking] If you have 1 or less Characters with 6000 power or more, this Character gains +1000 power during this turn.",Red,Character,3,5000,Punk Hazard;Brownbeard Pirates,,Slash
617044,Tony Tony.Chopper (011),Tony TonyChopper 011,https://tcgplayer-cdn.tcgplayer.com/product/617044_200w.jpg,68,23766,https://cpt.tcgcsv.com/VQX6,2025-03-21T04:10:14.857,1,1.99,3.49,6.0,2.63,,Foil,R,OP10-011,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br>
[Opponent's Turn] This Character gains +2000 power.",Red,Character,4,4000,Straw Hat Crew;Punk Hazard,2000,Strike
617045,Dragon Number Thirteen,Dragon Number Thirteen,https://tcgplayer-cdn.tcgplayer.com/product/617045_200w.jpg,68,23766,https://cpt.tcgcsv.com/WQX6,2025-03-21T04:10:14.857,1,0.01,0.13,1.55,0.06,,Normal,C,OP10-012,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Red,Character,2,2000,Biological Weapon;Punk Hazard,1000,Special
617046,Nami (013),Nami 013,https://tcgplayer-cdn.tcgplayer.com/product/617046_200w.jpg,68,23766,https://cpt.tcgcsv.com/XQX6,2025-03-21T04:10:14.857,1,0.02,0.15,1.55,0.07,,Normal,C,OP10-013,,Red,Character,5,7000,Straw Hat Crew;Punk Hazard,1000,Strike
617047,Franky (014),Franky 014,https://tcgplayer-cdn.tcgplayer.com/product/617047_200w.jpg,68,23766,https://cpt.tcgcsv.com/ZQX6,2025-03-21T04:10:14.857,1,0.01,0.15,1.55,0.06,,Normal,C,OP10-014,,Red,Character,6,8000,Animal;Straw Hat Crew;Punk Hazard,1000,Strike
