productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extCounterplus,extAttribute,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
620741,Scotch,Scotch,https://tcgplayer-cdn.tcgplayer.com/product/620741_200w.jpg,68,24068,https://cpt.tcgcsv.com/Rj-6,2025-03-18T13:42:57.913,1,C,OP10-008,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br>
[On Play] If you don't have [Rock], play up to 1 [Rock] from your hand.",Red,Character,2,1000,Punk Hazard,1000,Ranged,0.6,0.8,9.99,0.74,,Normal
620742,Caesar Clown (006),Caesar Clown 006,https://tcgplayer-cdn.tcgplayer.com/product/620742_200w.jpg,68,24068,https://cpt.tcgcsv.com/Sj-6,2025-03-18T13:42:33.223,1,UC,OP10-006,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 [Smiley] and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 [Smiley] from your hand.",Red,Character,7,7000,Punk Hazard;Scientist,,Special,0.8,1.24,5.0,1.38,,Normal
620743,Ceaser Soldier,Ceaser Soldier,https://tcgplayer-cdn.tcgplayer.com/product/620743_200w.jpg,68,24068,https://cpt.tcgcsv.com/Tj-6,2025-03-18T13:42:44.393,1,UC,OP10-007,"[On Play] Play up to 1 ""Punk Hazard"" type Character card with a cost of 2 or less from your hand.",Red,Character,3,4000,Punk Hazard,1000,Wisdom,1.69,1.94,9.99,2.45,,Normal
620744,Chadros.Higelyges (Brownbeard),ChadrosHigelyges Brownbeard,https://tcgplayer-cdn.tcgplayer.com/product/620744_200w.jpg,68,24068,https://cpt.tcgcsv.com/Vj-6,2025-03-18T13:43:10.98,1,C,OP10-010,"[When Attacking] If you have 1 or less Characters with 6000 power or more, this Character gains +1000 power during this turn.",Red,Character,3,5000,Punk Hazard;Brownbeard Pirates,,Slash,0.4,0.62,9.99,0.54,,Normal
620745,Dragon Number Thirteen,Dragon Number Thirteen,https://tcgplayer-cdn.tcgplayer.com/product/620745_200w.jpg,68,24068,https://cpt.tcgcsv.com/Wj-6,2025-03-18T13:43:28.703,1,C,OP10-012,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Red,Character,2,2000,Biological Weapon;Punk Hazard,1000,Special,0.5,0.7,9.99,0.72,,Normal
620746,Nami (013),Nami 013,https://tcgplayer-cdn.tcgplayer.com/product/620746_200w.jpg,68,24068,https://cpt.tcgcsv.com/Xj-6,2025-03-18T13:43:39.51,1,C,OP10-013,,Red,Character,5,7000,Straw Hat Crew;Punk Hazard,1000,Strike,2.2,3.17,23.25,3.28,,Normal
620747,Franky (014),Franky 014,https://tcgplayer-cdn.tcgplayer.com/product/620747_200w.jpg,68,24068,https://cpt.tcgcsv.com/Zj-6,2025-03-18T13:43:50.487,1,C,OP10-014,,Red,Character,6,8000,Animal;Straw Hat Crew;Punk Hazard,1000,Strike,2.6,3.55,9.99,3.34,,Normal
620748,Mocha,Mocha,https://tcgplayer-cdn.tcgplayer.com/product/620748_200w.jpg,68,24068,https://cpt.tcgcsv.com/-j-6,2025-03-18T13:44:00.843,1,UC,OP10-015,[On Play] Give up to 1 of your opponent's Characters 1000 power during this turn.,Red,Character,3,3000,Punk Hazard,2000,Strike,1.5,1.78,9.99,1.76,,Normal
620749,Rock,Rock,https://tcgplayer-cdn.tcgplayer.com/product/620749_200w.jpg,68,24068,https://cpt.tcgcsv.com/_j-6,2025-03-18T13:44:11.53,1,C,OP10-017,"[On Play] If you don't have [Scotch], play up to 1 [Scotch] from your hand.",Red,Character,2,3000,Punk Hazard,1000,Ranged,0.5,1.47,9.99,0.62,,Normal
620750,Ten-Layer Igloo,Ten Layer Igloo,https://tcgplayer-cdn.tcgplayer.com/product/620750_200w.jpg,68,24068,https://cpt.tcgcsv.com/0k-6,2025-03-18T13:44:21.72,1,C,OP10-018,"[Counter] Up to 1 of your Leader or Character cards gains +3000 power during this battle. Then, give up to 1 of your opponent's Leader or Character cards 2000 power during this turn.<br>
<br>
[Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn.",Red,Event,2,,Donquixote Pirates;Punk Hazard,,,2.45,3.75,14.99,3.89,,Normal
620751,Gum-Gum UFO,Gum Gum UFO,https://tcgplayer-cdn.tcgplayer.com/product/620751_200w.jpg,68,24068,https://cpt.tcgcsv.com/2k-6,2025-03-18T13:44:32.29,1,UC,OP10-020,"[Main] Give up to 1 of your opponent's Characters 4000 power during this turn. Then, if you have 2 or less Life cards, up to 1 of your Leader or Character cards gains +1000 power during this turn.<br>
<br>
[Trigger] K.O. up to 1 of your opponent's Characters with 3000 power or less.",Red,Event,2,,Straw Hat Crew;Punk Hazard,,,2.24,2.6,3.6,2.65,,Normal
620752,Punk Hazard,Punk Hazard,https://tcgplayer-cdn.tcgplayer.com/product/620752_200w.jpg,68,24068,https://cpt.tcgcsv.com/3k-6,2025-03-18T13:45:18.297,1,C,OP10-021,"[Activate: Main] <strong>You may rest this Stage:</strong> If your Leader is [Caesar Clown], give up to 1 rested DON!! card to your Leader or 1 of your Characters.",Red,Stage,1,,Punk Hazard,,,0.95,1.7,9.99,2.03,,Normal
620753,Issho,Issho,https://tcgplayer-cdn.tcgplayer.com/product/620753_200w.jpg,68,24068,https://cpt.tcgcsv.com/5k-6,2025-03-18T13:45:28.817,1,C,OP10-023,"[On Play] If your Leader has the ""Navy"" type, rest up to 2 of your opponent's Characters with a cost of 5 or less.",Green,Character,5,6000,Navy;Dressrosa,1000,Slash,0.5,1.0,9.99,0.72,,Normal
620754,Edward.Newgate,EdwardNewgate,https://tcgplayer-cdn.tcgplayer.com/product/620754_200w.jpg,68,24068,https://cpt.tcgcsv.com/6k-6,2025-03-18T13:45:40.483,1,C,OP10-024,"[On Play] If you have 2 or more rested Characters, rest up to 1 of your opponent's Characters with a cost of 5 or less. Then, K.O. up to 1 of your opponent's rested Characters with a cost of 3 or less.",Green,Character,5,6000,The Four Emperors;Whitebeard Pirates;ODYSSEY,1000,Special,1.8,2.39,9.99,2.66,,Normal
620755,Kin'emon (026),Kinemon 026,https://tcgplayer-cdn.tcgplayer.com/product/620755_200w.jpg,68,24068,https://cpt.tcgcsv.com/7k-6,2025-03-18T13:45:57.023,1,C,OP10-026,[Activate: Main] <strong>You may place this Character and 1 [Kin'emon] with 0 power from your trash at the bottom of your deck in any order:</strong> Play up to 1 [Kin'emon] with a cost of 6 from your hand.,Green,Character,2,1000,Land of Wano;The Akazaya Nine;Punk Hazard,1000,Slash,1.7,2.05,9.99,2.41,,Normal
620756,Kin'emon (027),Kinemon 027,https://tcgplayer-cdn.tcgplayer.com/product/620756_200w.jpg,68,24068,https://cpt.tcgcsv.com/8k-6,2025-03-18T13:46:07.903,1,UC,OP10-027,[Activate: Main] <strong>You may place this Character and 1 [Kin'emon] with 1000 power from your trash at the bottom of your deck in any order:</strong> Play up to 1 [Kin'emon] with a cost of 6 from your hand.,Green,Character,2,,Land of Wano;The Akazaya Nine;Punk Hazard,2000,Slash,1.8,2.3,14.99,2.47,,Normal
