productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
545045,Starter Deck 19: BLACK Smoker,Starter Deck 19 BLACK Smoker,https://tcgplayer-cdn.tcgplayer.com/product/545045_200w.jpg,68,23494,https://cpt.tcgcsv.com/W0n6,2024-10-25T04:08:12.303,1,15.0,21.98,30.37,19.21,,Normal,,,,,,,,,,,
545046,Starter Deck 19: BLACK Smoker Display,Starter Deck 19 BLACK Smoker Display,https://tcgplayer-cdn.tcgplayer.com/product/545046_200w.jpg,68,23494,https://cpt.tcgcsv.com/X0n6,2024-10-25T04:08:12.303,1,103.55,103.62,125.0,124.21,,Normal,,,,,,,,,,,
545047,Starter Deck 19: BLACK Smoker Display Case,Starter Deck 19 BLACK Smoker Display Case,https://tcgplayer-cdn.tcgplayer.com/product/545047_200w.jpg,68,23494,https://cpt.tcgcsv.com/Z0n6,2024-10-25T04:08:12.303,1,,,,,,,,,,,,,,,,,
581036,Smoker (OP02-093),Smoker OP02 093,https://tcgplayer-cdn.tcgplayer.com/product/581036_200w.jpg,68,23494,https://cpt.tcgcsv.com/LqG6,2024-11-04T20:29:52.62,1,0.3,0.4,3.99,0.39,,Foil,L,OP02-093,"[DON!! x1] [Activate: Main] [Once Per Turn] Give up to 1 of your opponent's Characters 1 cost during this turn. Then, if there is a Character with a cost of 0, this Leader gains +1000 power during this turn.",Black,Leader,5,5000,Navy,Special,,
581037,Koby,Koby,https://tcgplayer-cdn.tcgplayer.com/product/581037_200w.jpg,68,23494,https://cpt.tcgcsv.com/MqG6,2024-10-25T04:08:12.303,1,0.05,0.25,0.78,0.25,,Normal,R,OP02-098,[On Play] You may trash 1 card from your hand: K.O. up to 1 of your opponent's Characters with a cost of 3 or less.,Black,Character,,4000,Navy,Strike,3,1000
581038,Tsuru,Tsuru,https://tcgplayer-cdn.tcgplayer.com/product/581038_200w.jpg,68,23494,https://cpt.tcgcsv.com/NqG6,2024-10-25T04:08:12.303,1,0.15,0.33,1.48,0.33,,Normal,UC,OP02-106,[On Play] Give up to 1 of your opponent's Characters 2 cost during this turn.,Black,Character,,,Navy,Wisdom,1,2000
581039,Donquixote Rosinante,Donquixote Rosinante,https://tcgplayer-cdn.tcgplayer.com/product/581039_200w.jpg,68,23494,https://cpt.tcgcsv.com/PqG6,2024-10-25T04:08:12.303,1,0.08,0.22,0.99,,,Normal,C,OP02-108,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Black,Character,,2000,Donquixote Pirates;Navy,Special,2,1000
581040,Jaguar.D.Saul,JaguarDSaul,https://tcgplayer-cdn.tcgplayer.com/product/581040_200w.jpg,68,23494,https://cpt.tcgcsv.com/QqG6,2024-10-25T04:08:12.303,1,0.05,0.18,0.5,,,Normal,C,OP02-109,,Black,Character,,6000,Giant;Navy,Strike,4,1000
581041,Helmeppo,Helmeppo,https://tcgplayer-cdn.tcgplayer.com/product/581041_200w.jpg,68,23494,https://cpt.tcgcsv.com/RqG6,2024-10-25T04:08:12.303,1,0.1,0.19,1.4,0.15,,Normal,UC,OP02-113,"[When Attacking] Give up to 1 of your opponent's Characters 2 cost during this turn. Then, if there is a Character with a cost of 0, this Character gains +2000 power during this battle.<br><br>
[Trigger] Play this card.",Black,Character,,3000,Navy,Slash,3,1000
581042,Yamakaji,Yamakaji,https://tcgplayer-cdn.tcgplayer.com/product/581042_200w.jpg,68,23494,https://cpt.tcgcsv.com/SqG6,2024-10-25T04:08:12.303,1,0.05,0.15,0.5,,,Normal,C,OP02-116,,Black,Character,,5000,Navy,Slash,3,1000
