productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
288221,Starter Deck 1: Straw Hat Crew,Starter Deck 1 Straw Hat Crew,https://tcgplayer-cdn.tcgplayer.com/product/288221_200w.jpg,68,3189,https://cpt.tcgcsv.com/rjk3,2022-12-02T05:03:12.237,1,19.99,25.5,80.94,23.28,,Normal,,,,,,,,,,,
288222,Starter Deck 1: Straw Hat Crew Display,Starter Deck 1 Straw Hat Crew Display,https://tcgplayer-cdn.tcgplayer.com/product/288222_200w.jpg,68,3189,https://cpt.tcgcsv.com/sjk3,2022-12-02T05:03:12.237,1,230.0,290.84,399.95,88.8,,Normal,,,,,,,,,,,
288225,Starter Decks 1-4 [Set of 4],Starter Decks 1 4 Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/288225_200w.jpg,68,3189,https://cpt.tcgcsv.com/wjk3,2022-12-02T05:03:12.237,1,103.45,108.98,9999.99,106.82,,Normal,,,,,,,,,,,
288228,Monkey.D.Luffy (001),MonkeyDLuffy 001,https://tcgplayer-cdn.tcgplayer.com/product/288228_200w.jpg,68,3189,https://cpt.tcgcsv.com/Bjk3,2023-03-07T14:05:18.527,1,0.89,1.16,12.99,0.99,,Foil,L,ST01-001,[Activate: Main] [Once Per Turn] Give this Leader or 1 of your Characters up to 1 rested DON!! card.,Red,Leader,5,5000,Straw Hat Crew;Supernovas,Strike,,
288228,Monkey.D.Luffy (001),MonkeyDLuffy 001,https://tcgplayer-cdn.tcgplayer.com/product/288228_200w.jpg,68,3189,https://cpt.tcgcsv.com/Bjk3,2023-03-07T14:05:18.527,1,0.4,0.61,19.99,0.49,,Normal,L,ST01-001,[Activate: Main] [Once Per Turn] Give this Leader or 1 of your Characters up to 1 rested DON!! card.,Red,Leader,5,5000,Straw Hat Crew;Supernovas,Strike,,
288229,Usopp,Usopp,https://tcgplayer-cdn.tcgplayer.com/product/288229_200w.jpg,68,3189,https://cpt.tcgcsv.com/Cjk3,2022-12-02T05:03:12.237,1,0.05,0.17,3.95,0.11,,Normal,C,ST01-002,[DON!! x2] [When Attacking] Your opponent cannot activate a [Blocker] Character that has 5000 or more power during this battle. [Trigger] Play this card.,Red,Character,,2000,Straw Hat Crew,Ranged,2,1000
288230,Karoo,Karoo,https://tcgplayer-cdn.tcgplayer.com/product/288230_200w.jpg,68,3189,https://cpt.tcgcsv.com/Djk3,2022-12-02T05:03:12.237,1,0.05,0.2,3.95,0.16,,Normal,C,ST01-003,,Red,Character,,3000,Animal;Alabasta,Strike,1,1000
288232,Sanji,Sanji,https://tcgplayer-cdn.tcgplayer.com/product/288232_200w.jpg,68,3189,https://cpt.tcgcsv.com/Gjk3,2022-12-02T05:03:12.237,1,0.09,0.25,3.95,0.24,,Normal,C,ST01-004,[DON!! x2] This Character gains [Rush]. <em>(This card can attack on the turn in which it is played.)</em>,Red,Character,,4000,Straw Hat Crew,Strike,2,
288234,Jinbe,Jinbe,https://tcgplayer-cdn.tcgplayer.com/product/288234_200w.jpg,68,3189,https://cpt.tcgcsv.com/Jjk3,2022-12-02T05:03:12.237,1,0.01,0.2,20.0,0.12,,Normal,C,ST01-005,[DON!! x1] [When Attacking] Up to 1 of your Leader or Character cards other than this card gains +1000 power during this turn.,Red,Character,,5000,Fish-Man;Straw Hat Crew,Strike,3,
288235,Tony Tony.Chopper,Tony TonyChopper,https://tcgplayer-cdn.tcgplayer.com/product/288235_200w.jpg,68,3189,https://cpt.tcgcsv.com/Kjk3,2022-12-02T05:03:12.237,1,0.1,0.38,4.99,0.18,,Normal,C,ST01-006,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Red,Character,,1000,Animal;Straw Hat Crew,Strike,1,
288236,Nami,Nami,https://tcgplayer-cdn.tcgplayer.com/product/288236_200w.jpg,68,3189,https://cpt.tcgcsv.com/Ljk3,2022-12-02T05:03:12.237,1,0.25,0.5,4.63,0.41,,Normal,C,ST01-007,[Activate: Main] [Once Per Turn] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.,Red,Character,,1000,Straw Hat Crew,Special,1,1000
288237,Nico Robin,Nico Robin,https://tcgplayer-cdn.tcgplayer.com/product/288237_200w.jpg,68,3189,https://cpt.tcgcsv.com/Mjk3,2022-12-02T05:03:12.237,1,0.04,0.2,3.95,0.13,,Normal,C,ST01-008,,Red,Character,,5000,Straw Hat Crew,Wisdom,3,1000
288238,Nefeltari Vivi,Nefeltari Vivi,https://tcgplayer-cdn.tcgplayer.com/product/288238_200w.jpg,68,3189,https://cpt.tcgcsv.com/Njk3,2022-12-02T05:03:12.237,1,0.05,0.19,3.95,0.19,,Normal,C,ST01-009,,Red,Character,,4000,Alabasta,Slash,2,1000
288239,Franky,Franky,https://tcgplayer-cdn.tcgplayer.com/product/288239_200w.jpg,68,3189,https://cpt.tcgcsv.com/Pjk3,2022-12-02T05:03:12.237,1,0.03,0.19,3.95,0.13,,Normal,C,ST01-010,,Red,Character,,6000,Straw Hat Crew,Strike,4,1000
288240,Brook,Brook,https://tcgplayer-cdn.tcgplayer.com/product/288240_200w.jpg,68,3189,https://cpt.tcgcsv.com/Qjk3,2022-12-02T05:03:12.237,1,1.54,2.48,7.95,1.99,,Normal,C,ST01-011,[On Play] Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.,Red,Character,,3000,Straw Hat Crew,Slash,2,2000
288241,Monkey.D.Luffy (012),MonkeyDLuffy 012,https://tcgplayer-cdn.tcgplayer.com/product/288241_200w.jpg,68,3189,https://cpt.tcgcsv.com/Rjk3,2022-12-02T05:03:12.237,1,3.23,5.0,25.0,4.05,,Foil,SR,ST01-012,"[Rush] <em>(This card can attack on the turn in which it is played.)</em>
<br>[DON!! x2] [When Attacking] Your opponent cannot activate [Blocker] during this battle.",Red,Character,,6000,Straw Hat Crew;Supernovas,Strike,5,
288242,Roronoa Zoro,Roronoa Zoro,https://tcgplayer-cdn.tcgplayer.com/product/288242_200w.jpg,68,3189,https://cpt.tcgcsv.com/Sjk3,2022-12-02T05:03:12.237,1,0.74,1.53,7.99,1.16,,Foil,SR,ST01-013,[DON!! x1] This Character gains +1000 power.,Red,Character,,5000,Straw Hat Crew;Supernovas,Slash,3,
288243,Guard Point,Guard Point,https://tcgplayer-cdn.tcgplayer.com/product/288243_200w.jpg,68,3189,https://cpt.tcgcsv.com/Tjk3,2024-11-08T20:37:11.16,1,0.05,0.45,6.0,0.19,,Normal,C,ST01-014,"[Counter] Up to 1 of your Leader or Character cards gains +3000 power during this battle. 
<br>[Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn.",Red,Event,,,Animal;Straw Hat Crew,,1,
