productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
480236,Starter Deck 7: Big Mom Pirates,Starter Deck 7 Big Mom Pirates,https://tcgplayer-cdn.tcgplayer.com/product/480236_200w.jpg,68,22930,https://cpt.tcgcsv.com/L6S5,2023-06-30T04:03:09.007,1,25.0,35.94,59.99,29.61,,Normal,,,,,,,,,,,
480240,Starter Deck 7: Big Mom Pirates Display,Starter Deck 7 Big Mom Pirates Display,https://tcgplayer-cdn.tcgplayer.com/product/480240_200w.jpg,68,22930,https://cpt.tcgcsv.com/Q6S5,2023-06-30T04:03:09.007,1,155.0,219.0,283.0,164.0,,Normal,,,,,,,,,,,
480241,Starter Deck 7: Big Mom Pirates Display Case,Starter Deck 7 Big Mom Pirates Display Case,https://tcgplayer-cdn.tcgplayer.com/product/480241_200w.jpg,68,22930,https://cpt.tcgcsv.com/R6S5,2023-07-05T18:42:43.39,1,,,,,,,,,,,,,,,,,
500128,Charlotte Linlin,Charlotte Linlin,https://tcgplayer-cdn.tcgplayer.com/product/500128_200w.jpg,68,22930,https://cpt.tcgcsv.com/B306,2023-06-30T04:03:09.007,1,0.5,0.58,2.99,0.54,,Foil,L,ST07-001,"[DON!! x2] [When Attacking] <strong>You may add 1 card from the top or bottom of your Life cards to your hand</strong>: If you have 2 or less Life cards, add up to 1 card from your hand to the top of your Life cards.",Yellow,Leader,5,5000,The Four Emperors;Big Mom Pirates,Special,,
500129,Charlotte Anana,Charlotte Anana,https://tcgplayer-cdn.tcgplayer.com/product/500129_200w.jpg,68,22930,https://cpt.tcgcsv.com/C306,2023-06-30T04:03:09.007,1,0.02,0.15,1.35,0.08,,Normal,C,ST07-002,,Yellow,Character,,3000,Big Mom Pirates,Wisdom,1,1000
500130,Charlotte Katakuri,Charlotte Katakuri,https://tcgplayer-cdn.tcgplayer.com/product/500130_200w.jpg,68,22930,https://cpt.tcgcsv.com/D306,2023-06-30T04:03:09.007,1,1.45,2.02,4.75,1.7,,Foil,SR,ST07-003,"[On Play] Look at up to 1 card from the top of your or your opponent's Life cards, and place it at the top or bottom of the Life cards. Then, if you have less Life cards than your opponent, this Character gains [Rush] during this turn. <em>(This card can attack on the turn in which it is played.)</em>",Yellow,Character,,6000,Big Mom Pirates,Strike,4,
500132,Charlotte Snack,Charlotte Snack,https://tcgplayer-cdn.tcgplayer.com/product/500132_200w.jpg,68,22930,https://cpt.tcgcsv.com/G306,2023-06-30T04:03:09.007,1,0.04,0.15,1.39,0.08,,Normal,C,ST07-004,"[DON!! x1] [When Attacking] <strong>You may add 1 card from the top or bottom of your Life cards to your hand</strong>: This Character gains [Banish] and +1000 power during this battle. <em>(When this card deals damage, the target card is trashed without activating its Trigger.)</em>",Yellow,Character,,6000,Big Mom Pirates,Slash,5,
500134,Charlotte Daifuku,Charlotte Daifuku,https://tcgplayer-cdn.tcgplayer.com/product/500134_200w.jpg,68,22930,https://cpt.tcgcsv.com/J306,2023-06-30T04:03:09.007,1,0.09,0.25,1.62,0.21,,Normal,C,ST07-005,[DON!! x1] [When Attacking] <strong>You may add 1 card from the top or bottom of your Life cards to your hand</strong>: Add up to 1 card from the top of your deck to the top of your Life cards.,Yellow,Character,,5000,Big Mom Pirates,Slash,4,1000
500137,Charlotte Flampe,Charlotte Flampe,https://tcgplayer-cdn.tcgplayer.com/product/500137_200w.jpg,68,22930,https://cpt.tcgcsv.com/M306,2023-06-30T04:03:09.007,1,0.05,0.2,1.75,0.13,,Normal,C,ST07-006,,Yellow,Character,,4000,Big Mom Pirates,Ranged,2,1000
500139,Charlotte Brulee,Charlotte Brulee,https://tcgplayer-cdn.tcgplayer.com/product/500139_200w.jpg,68,22930,https://cpt.tcgcsv.com/P306,2023-06-30T04:03:09.007,1,0.05,0.2,14.99,0.1,,Normal,C,ST07-007,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
[Trigger] Play this card.",Yellow,Character,,1000,Big Mom Pirates,Special,3,1000
