productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
409506,Super Pre-Release Starter Deck 1: Straw Hat Crew,Super Pre Release Starter Deck 1 Straw Hat Crew,https://tcgplayer-cdn.tcgplayer.com/product/409506_200w.jpg,68,17659,https://cpt.tcgcsv.com/8Qh5,2022-10-25T13:44:38.83,1,208.99,255.5,1000.0,219.71,,Normal,,,,,,,,,,,
409743,Super Pre-Release Starter Deck 1: Straw Hat Crew Display,Super Pre Release Starter Deck 1 Straw Hat Crew Display,https://tcgplayer-cdn.tcgplayer.com/product/409743_200w.jpg,68,17659,https://cpt.tcgcsv.com/TVh5,2022-10-18T16:31:53.023,1,10000.0,10000.0,10000.0,,,Normal,,,,,,,,,,,
411372,Super Pre-Release Starter Decks 1-4 [Set of 4],Super Pre Release Starter Decks 1 4 Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/411372_200w.jpg,68,17659,https://cpt.tcgcsv.com/szj5,2022-10-18T16:32:08.55,1,645.0,899.78,1299.95,726.67,,Normal,,,,,,,,,,,
412113,Monkey.D.Luffy (001),MonkeyDLuffy 001,https://tcgplayer-cdn.tcgplayer.com/product/412113_200w.jpg,68,17659,https://cpt.tcgcsv.com/hSj5,2023-09-29T17:28:05.963,1,76.83,101.13,275.0,90.95,,Foil,L,ST01-001,[Activate: Main] [Once Per Turn] Give this Leader or 1 of your Characters up to 1 rested DON!! card.,Red,Leader,5,5000,Straw Hat Crew;Supernovas,Strike,,
412744,Usopp,Usopp,https://tcgplayer-cdn.tcgplayer.com/product/412744_200w.jpg,68,17659,https://cpt.tcgcsv.com/V6k5,2022-09-29T15:19:02.35,1,0.17,0.4,4.99,0.25,,Normal,C,ST01-002,[DON!! x2] [When Attacking] Your opponent cannot activate a [Blocker] Character that has 5000 or more power during this battle. [Trigger] Play this card.,Red,Character,,2000,Straw Hat Crew,Ranged,2,1000
415270,Karoo,Karoo,https://tcgplayer-cdn.tcgplayer.com/product/415270_200w.jpg,68,17659,https://cpt.tcgcsv.com/q7l5,2022-09-29T15:16:52.223,1,0.9,1.4,4.95,1.44,,Normal,C,ST01-003,,Red,Character,,3000,Animal;Alabasta,Strike,1,1000
415843,Sanji,Sanji,https://tcgplayer-cdn.tcgplayer.com/product/415843_200w.jpg,68,17659,https://cpt.tcgcsv.com/Tll5,2022-09-29T15:18:34.6,1,1.0,1.78,15.0,1.2,,Normal,C,ST01-004,[DON!! x2] This Character gains [Rush]. <em>(This card can attack on the turn in which it is played.)</em>,Red,Character,,4000,Straw Hat Crew,Strike,2,
416474,Jinbe,Jinbe,https://tcgplayer-cdn.tcgplayer.com/product/416474_200w.jpg,68,17659,https://cpt.tcgcsv.com/vCl5,2022-09-29T15:16:48.027,1,0.2,0.33,3.95,0.26,,Normal,C,ST01-005,[DON!! x1] [When Attacking] Up to 1 of your Leader or Character cards other than this card gains +1000 power during this turn.,Red,Character,,5000,Fish-Man;Straw Hat Crew,Strike,3,
416671,Tony Tony.Chopper,Tony TonyChopper,https://tcgplayer-cdn.tcgplayer.com/product/416671_200w.jpg,68,17659,https://cpt.tcgcsv.com/rHl5,2022-09-29T15:18:58.237,1,1.03,2.29,19.99,1.69,,Normal,C,ST01-006,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Red,Character,,1000,Animal;Straw Hat Crew,Strike,1,
416939,Nami,Nami,https://tcgplayer-cdn.tcgplayer.com/product/416939_200w.jpg,68,17659,https://cpt.tcgcsv.com/PNl5,2022-09-29T14:51:54.583,1,2.88,3.87,22.79,2.91,,Normal,C,ST01-007,[Activate: Main] [Once Per Turn] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.,Red,Character,,1000,Straw Hat Crew,Special,1,1000
