productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
408197,Super Pre-Release Starter Deck 2: Worst Generation,Super Pre Release Starter Deck 2 Worst Generation,https://tcgplayer-cdn.tcgplayer.com/product/408197_200w.jpg,68,17658,https://cpt.tcgcsv.com/Zhh5,2022-10-25T13:44:47.123,1,109.85,150.0,300.0,147.69,,Normal,,,,,,,,,,,
408957,Super Pre-Release Starter Deck 2: Worst Generation Display,Super Pre Release Starter Deck 2 Worst Generation Display,https://tcgplayer-cdn.tcgplayer.com/product/408957_200w.jpg,68,17658,https://cpt.tcgcsv.com/9Ch5,2022-10-18T16:32:35.59,1,10000.0,10000.0,10000.0,,,Normal,,,,,,,,,,,
415183,"Eustass""Captain""Kid (001)",EustassCaptainKid 001,https://tcgplayer-cdn.tcgplayer.com/product/415183_200w.jpg,68,17658,https://cpt.tcgcsv.com/H5l5,2023-09-29T17:32:18.333,1,24.44,35.0,250.0,25.85,,Foil,L,ST02-001,[Activate: Main] [Once Per Turn] (3) <em>(You may rest the specified number of DON!! cards in your cost area.)</em> You may trash 1 card from your hand: Set this Leader as active.,Green,Leader,5,5000,Kid Pirates;Supernovas,Special,,
415523,"Eustass""Captain""Kid (013)",EustassCaptainKid 013,https://tcgplayer-cdn.tcgplayer.com/product/415523_200w.jpg,68,17658,https://cpt.tcgcsv.com/tdl5,2022-09-29T14:49:03.033,1,1.52,2.88,45.95,2.46,,Foil,SR,ST02-013,,Green,Character,,7000,Kid Pirates;Supernovas,Special,7,
415805,Trafalgar Law,Trafalgar Law,https://tcgplayer-cdn.tcgplayer.com/product/415805_200w.jpg,68,17658,https://cpt.tcgcsv.com/7ll5,2022-09-29T14:49:30.44,1,3.25,5.5,29.99,3.5,,Foil,SR,ST02-009,"[On Play] Set up to 1 of your ""Supernovas"" or ""Heart Pirates"" type rested Characters with a cost of 5 or less as active.",Green,Character,,6000,Heart Pirates;Supernovas,Slash,5,1000
416054,X.Drake,XDrake,https://tcgplayer-cdn.tcgplayer.com/product/416054_200w.jpg,68,17658,https://cpt.tcgcsv.com/6rl5,2022-09-29T14:49:57.093,1,0.37,1.2,14.95,0.7,,Normal,C,ST02-014,"[DON!! x1] [Your Turn] If this Character is rested, your ""Supernovas"" or ""Navy"" type Leaders and Characters gain +1000 power.",Green,Character,,5000,Drake Pirates;Navy;Supernovas,Slash,4,1000
416218,Vito,Vito,https://tcgplayer-cdn.tcgplayer.com/product/416218_200w.jpg,68,17658,https://cpt.tcgcsv.com/nvl5,2022-09-29T14:50:17,1,0.1,0.25,3.95,0.13,,Normal,C,ST02-002,,Green,Character,,5000,Firetank Pirates,Ranged,3,1000
417066,Urouge,Urouge,https://tcgplayer-cdn.tcgplayer.com/product/417066_200w.jpg,68,17658,https://cpt.tcgcsv.com/lRl5,2022-09-29T14:52:13.28,1,0.69,1.68,9.95,3.51,,Normal,C,ST02-003,"[DON!! x1] If you have 3 or more Characters, this card gains +2000 power.",Green,Character,,3000,Fallen Monk Pirates;Supernovas,Strike,2,1000
417264,Straw Sword,Straw Sword,https://tcgplayer-cdn.tcgplayer.com/product/417264_200w.jpg,68,17658,https://cpt.tcgcsv.com/jWl5,2022-09-29T14:52:32.57,1,0.98,2.2,29.99,1.35,,Normal,C,ST02-017,[Main] Rest up to 1 of your opponent's Characters.,Green,Event,,,Hawkins Pirates;Supernovas,,2,
417462,Scratchmen Apoo,Scratchmen Apoo,https://tcgplayer-cdn.tcgplayer.com/product/417462_200w.jpg,68,17658,https://cpt.tcgcsv.com/g_l5,2022-09-29T14:52:54.7,1,1.68,2.5,19.99,2.16,,Normal,C,ST02-008,[DON!! x1] [When Attacking] Rest up to 1 of your opponent's DON!! cards.,Green,Character,,3000,On-Air Pirates;Supernovas,Ranged,2,2000
