productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
502982,Ultra Deck: The Three Captains,Ultra Deck The Three Captains,https://tcgplayer-cdn.tcgplayer.com/product/502982_200w.jpg,68,23243,https://cpt.tcgcsv.com/Gc26,2024-01-10T20:59:13.317,1,50.0,63.99,149.99,60.72,,Normal,,,,,,,,,,,
502983,Ultra Deck: The Three Captains Display,Ultra Deck The Three Captains Display,https://tcgplayer-cdn.tcgplayer.com/product/502983_200w.jpg,68,23243,https://cpt.tcgcsv.com/Hc26,2024-01-10T20:59:36.683,1,339.69,339.98,405.0,243.12,,Normal,,,,,,,,,,,
502984,Ultra Deck: The Three Captains Display Case,Ultra Deck The Three Captains Display Case,https://tcgplayer-cdn.tcgplayer.com/product/502984_200w.jpg,68,23243,https://cpt.tcgcsv.com/Jc26,2024-01-10T21:00:37.397,1,,,,,,,,,,,,,,,,,
525044,Trafalgar Law (001),Trafalgar Law 001,https://tcgplayer-cdn.tcgplayer.com/product/525044_200w.jpg,68,23243,https://cpt.tcgcsv.com/V0d6,2023-11-10T05:08:03.327,1,1.25,1.6,9.99,1.47,,Foil,L,ST10-001,"[Activate:Main] [Once Per Turn] DON!! -3 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>: Place up to 1 of your opponent's Characters with 3000 power or less at the bottom of the owner's deck, and play up to 1 Character card with a cost of 4 or less from your hand.",Purple;Red,Leader,4,5000,Heart Pirates,Slash,,
525045,Monkey.D.Luffy (002),MonkeyDLuffy 002,https://tcgplayer-cdn.tcgplayer.com/product/525045_200w.jpg,68,23243,https://cpt.tcgcsv.com/W0d6,2023-11-10T05:08:03.327,1,3.39,4.01,30.0,3.5,,Foil,L,ST10-002,"[Activate:Main] [Once Per Turn] If you have 0 DON!! cards on your field or 8 or more DON!! cards on your field, add up to 1 DON!! card from your DON!! deck and set it as active.",Purple;Red,Leader,3,6000,Straw Hat Crew,Strike,,
525046,"Eustass""Captain""Kid (003)",EustassCaptainKid 003,https://tcgplayer-cdn.tcgplayer.com/product/525046_200w.jpg,68,23243,https://cpt.tcgcsv.com/X0d6,2023-11-10T05:08:03.327,1,1.0,1.78,4.0,1.71,,Foil,L,ST10-003,"[Your Turn] If you have 4 or more Life cards, give this Leader -1000 power.
<br>
[When Attacking] DON!! -1 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>: This Leader gains +2000 power during this turn.",Purple;Red,Leader,5,5000,Kid Pirates,Special,,
525047,Sanji,Sanji,https://tcgplayer-cdn.tcgplayer.com/product/525047_200w.jpg,68,23243,https://cpt.tcgcsv.com/Z0d6,2023-11-10T05:08:03.327,1,0.1,0.25,2.0,0.28,,Foil,C,ST10-004,"[On Play] If your opponent has a Character with 5000 or more power, this Character gains [Rush] during this turn. <em>(This card can attack on the turn in which it is played.)</em>",Red,Character,,6000,Straw Hat Crew,Strike,6,1000
525048,Jinbe,Jinbe,https://tcgplayer-cdn.tcgplayer.com/product/525048_200w.jpg,68,23243,https://cpt.tcgcsv.com/-0d6,2023-11-10T05:08:03.327,1,0.1,0.6,3.48,0.62,,Foil,C,ST10-005,[DON!! x1] [When Attacking] Give up to 1 of your opponent's Characters -2000 power during this turn.,Red,Character,,2000,Fish-Man;Straw Hat Crew,Strike,2,2000
525049,Monkey.D.Luffy (006),MonkeyDLuffy 006,https://tcgplayer-cdn.tcgplayer.com/product/525049_200w.jpg,68,23243,https://cpt.tcgcsv.com/_0d6,2023-11-10T05:08:03.327,1,0.34,0.96,5.0,0.68,,Foil,SR,ST10-006,"[Rush] <em>(This card can attack on the turn in which it is played.)</em>
<br>
[Once Per Turn] When your opponent activates a [Blocker], K.O. up to 1 of your opponent's Characters with 8000 power or less.",Red,Character,,11000,Straw Hat Crew,Strike,10,
525050,Killer,Killer,https://tcgplayer-cdn.tcgplayer.com/product/525050_200w.jpg,68,23243,https://cpt.tcgcsv.com/02d6,2023-11-10T05:08:03.327,1,0.01,0.15,2.0,0.1,,Foil,C,ST10-007,"[Your Turn] [Once Per Turn] When a DON!! card on your field is returned to your DON!! deck, K.O. up to 1 of your opponent's rested Characters with a cost of 3 or less.",Purple,Character,,6000,Kid Pirates,Slash,5,1000
525051,Shachi & Penguin,Shachi and Penguin,https://tcgplayer-cdn.tcgplayer.com/product/525051_200w.jpg,68,23243,https://cpt.tcgcsv.com/22d6,2023-11-10T05:08:03.327,1,0.13,0.45,20.0,0.23,,Foil,C,ST10-008,"[On Play] If you have 3 or less DON!! cards on your field, add up to 2 DON!! cards from your DON!! deck and rest them.",Purple,Character,,5000,Heart Pirates,Ranged,4,2000
525052,Jean Bart,Jean Bart,https://tcgplayer-cdn.tcgplayer.com/product/525052_200w.jpg,68,23243,https://cpt.tcgcsv.com/32d6,2023-11-10T05:08:03.327,1,0.03,0.2,2.0,0.17,,Foil,C,ST10-009,[On Play] (1) <em>(You may rest the specified number of DON!! cards in your cost area.)</em>: Add up to 1 DON!! card from your DON!! deck and set it as active.,Purple,Character,,5000,Heart Pirates,Strike,4,1000
525053,Trafalgar Law (010),Trafalgar Law 010,https://tcgplayer-cdn.tcgplayer.com/product/525053_200w.jpg,68,23243,https://cpt.tcgcsv.com/52d6,2023-11-10T05:08:03.327,1,0.75,2.49,15.0,1.49,,Foil,SR,ST10-010,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
[On Play] DON!! -1 </em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>: If your opponent has 7 or more cards in their hand, trash 2 cards from your opponent's hand.",Purple,Character,,5000,Heart Pirates,Slash,4,1000
525054,Heat,Heat,https://tcgplayer-cdn.tcgplayer.com/product/525054_200w.jpg,68,23243,https://cpt.tcgcsv.com/62d6,2023-11-10T05:08:03.327,1,0.03,0.15,2.0,0.11,,Foil,C,ST10-011,"[Your Turn] [Once Per Turn] When a DON!! card on your field is returned to your DON!! deck, this Character gains +2000 power until the start of your next turn.",Purple,Character,,4000,Kid Pirates,Special,3,1000
